route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
L3,71,387656,Sainte-Foy centre via Station de la Concorde (hors-pointe/soir/fin de sem.),,0,106,63202_1424833_1424888,1
L3,71,387657,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,106,63203_1425446_1425506,1
L3,71,387658,Station de la Concorde,,0,106,63202_1424833_1424878,1
L3,71,387660,Station de la Concorde,,0,106,63202_1424833_1424878,1
L3,71,387661,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,106,63203_1425461_1425506,1
L3,71,387662,Station de la Concorde,,0,106,63202_1424833_1424878,1
L3,71,387663,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,106,63203_1425461_1425506,1
L3,71,387664,Station de la Concorde,,0,106,63202_1424833_1424878,1
L3,71,387665,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,106,63203_1425461_1425506,1
311,85,387668,Saint-Jean-Chrysostome / Breakeyville,,1,107,62269_1420538_1420600,2
ELQ,71,387670,Lévis centre / Lauzon,,1,107,62316_1411939_1411994,2
381,85,387673,Saint-Jean-Chrysostome / Breakeyville,,1,108,62300_1420481_1420537,2
L3,71,387675,Terminus Lagueux,,1,108,63199_1425964_1426021,1
38,71,387678,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,109,62298_1413609_1413664,2
225,83,387680,Saint-Nicolas - Bernières,,1,109,62290_1418605_1418639,2
34,71,387683,Station de la Concorde via Juvénat Notre-Dame,,0,110,62274_1417433_1417473,2
31,71,387684,Breakeyville / Station de la Concorde,,1,110,62267_1421291_1421361,2
31,71,387685,Breakeyville / Station de la Concorde,,1,110,62267_1421291_1421361,2
L3,71,387688,Terminus Lagueux,,1,111,63199_1425964_1426021,1
L1,71,387689,Station de la Concorde,,0,111,63195_1424889_1424934,1
39,71,387691,Charny / Saint-Jean-Chrysostome,,1,111,62307_1420761_1420788,2
L2,71,387694,Sainte-Foy centre,,0,112,63196_1409683_1409740,1
L2,71,387695,Terminus de la Traverse,,1,112,63197_1425679_1425741,1
ELQ,71,387698,Lévis centre / Lauzon,,1,113,62316_1411939_1411994,2
L1,71,387701,Station de la Concorde,,0,114,63195_1424889_1424934,1
31,71,387703,Breakeyville / Station de la Concorde,,1,114,62267_1421291_1421361,2
31,71,387704,Breakeyville / Station de la Concorde,,1,114,62267_1421291_1421361,2
31,71,387705,Breakeyville / Station de la Concorde,,1,114,62267_1421291_1421361,2
L2,71,387708,Sainte-Foy centre,,0,115,63196_1409683_1409740,1
L2,71,387709,Terminus de la Traverse,,1,115,63197_1425679_1425741,1
L1,71,387712,Terminus Lagueux,,1,116,63194_1409585_1409682,1
L3,71,387713,Sainte-Foy centre via Parc industriel de Bernières-Sud (pointe PM),,0,116,63200_1425038_1425093,1
L3,71,387714,Terminus Lagueux,,1,116,63199_1425963_1426021,1
L3,71,387717,Terminus Lagueux,,1,117,63199_1425964_1426021,1
L3,71,387718,Sainte-Foy centre via Parc industriel de Bernières-Sud (pointe PM),,0,117,63200_1425038_1425093,1
L3,71,387719,Terminus Lagueux,,1,117,63199_1425963_1426021,1
34,71,387722,Saint-Romuald,,1,118,62273_1424433_1424466,2
34,71,387723,Station de la Concorde,,0,118,62272_1417393_1417432,2
34,71,387724,Saint-Romuald,,1,118,62273_1424433_1424466,2
34,71,387725,Station de la Concorde,,0,118,62272_1417393_1417432,2
34,71,387726,Saint-Romuald,,1,118,62273_1424433_1424466,2
34,71,387727,Station de la Concorde,,0,118,62272_1417393_1417432,2
34,71,387728,Saint-Romuald,,1,118,62273_1424433_1424466,2
34,71,387729,Station de la Concorde,,0,118,62272_1417393_1417432,2
34,71,387730,Saint-Romuald,,1,118,62273_1424433_1424466,2
31,71,387732,Sainte-Hélène-de-Breakeyville,,1,118,62267_1421291_1421339,2
L2,71,387735,Sainte-Foy centre,,0,119,63196_1409683_1409740,1
L2,71,387736,Terminus de la Traverse,,1,119,63197_1425679_1425741,1
ELQ,71,387739,Lévis centre / Lauzon,,1,120,62316_1411939_1411994,2
42E,81,387742,Lévis centre / Station Galeries Chagnon,,1,121,62309_1426879_1426908,2
37,71,387745,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,122,62292_1413554_1413601,2
38,71,387746,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,122,62298_1413616_1413664,2
37,71,387747,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,122,62292_1413554_1413601,2
38,71,387748,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,122,62298_1413616_1413664,2
37,71,387749,Saint-Jean-Chrysostome via Taniata / Station Taniata,,1,122,62292_1413554_1413601,2
38,71,387750,Saint-Jean-Chrysostome via Vanier / Station Taniata,,0,122,62298_1413616_1413664,2
L1,71,387753,Terminus Lagueux,,1,123,63194_1409585_1409682,1
L2,71,387756,Sainte-Foy centre,,0,124,63196_1409683_1409740,1
L2,71,387757,Terminus de la Traverse,,1,124,63197_1425679_1425741,1
13,71,387760,Terminus de la Traverse,,0,125,63350_1424742_1424786,2
13,71,387761,Saint-David,,1,125,63351_1424787_1424832,2
13,71,387762,Terminus de la Traverse,,0,125,63350_1424742_1424786,2
13,71,387763,Saint-David,,1,125,63351_1424787_1424832,2
13,71,387764,Terminus de la Traverse,,0,125,63350_1424742_1424786,2
L2,71,387765,Sainte-Foy centre,,0,125,63196_1409683_1409740,1
L2,71,387766,Terminus de la Traverse,,1,125,63197_1425679_1425741,1
15,71,387769,Pintendre,,1,126,63340_1416134_1416173,2
15,71,387770,Terminus de la Traverse,,0,126,63341_1411580_1411634,2
11,71,387771,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,126,63367_1426785_1426878,1
11,71,387772,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,126,63367_1426785_1426878,1
L2,71,387775,Sainte-Foy centre,,0,127,63196_1409683_1409740,1
L2,71,387776,Terminus de la Traverse,,1,127,63197_1425679_1425741,1
13,71,387779,Saint-David,,1,128,63351_1424787_1424832,2
13,71,387780,Terminus de la Traverse,,0,128,63350_1424742_1424786,2
L2,71,387781,Sainte-Foy centre,,0,128,63196_1409683_1409740,1
L2,71,387782,Terminus de la Traverse,,1,128,63197_1425679_1425741,1
15,71,387785,Terminus de la Traverse,,0,129,63341_1411611_1411634,2
15,71,387786,Pintendre,,1,129,63340_1416117_1416173,2
126,83,387789,Étienne-Dallaire / Massenet,,1,130,63357_1418835_1418860,2
158,87,387791,Pintendre,,1,130,63335_1422807_1422835,2
L2,71,387793,Sainte-Foy centre,,0,130,63196_1409683_1409740,1
L2,71,387794,Terminus de la Traverse,,1,130,63197_1425679_1425741,1
125,83,387797,Lauzon,,1,131,63359_1414596_1414626,2
15,87,387799,Pintendre,,1,131,63340_1416132_1416173,2
15,71,387800,Terminus de la Traverse,,0,131,63341_1411580_1411634,2
L1,71,387803,Terminus Lagueux,,1,132,63194_1409585_1409682,1
127,83,387806,Lauzon,,1,133,63355_1414672_1414695,2
139,87,387808,Saint-David,,1,133,63343_1417132_1417149,2
13,71,387810,Saint-David,,1,133,63351_1424787_1424832,2
